latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
14.79467,100.76402,331.84,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,306.59,5.43,D
14.90018,100.7782,334.6,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.62,2.13,D
14.95397,100.98816,342.18,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,298.06,2.79,D
14.9574,100.98756,342.64,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,298.06,2.97,D
14.96395,101.00612,342.17,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,299.08,4.15,D
14.9627,100.99845,338.34,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,298.13,4.86,D
14.96083,100.98697,336.28,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,299.07,2.97,D
14.97236,100.99285,345.58,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,298.67,4.28,D
14.9733,100.97697,330.28,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,298.88,5.95,D
14.82869,99.96802,330.91,0.46,0.39,2026-01-08,0629,N,nominal,2.0NRT,301.1,2.16,D
14.99569,100.76562,330.83,0.42,0.38,2026-01-08,0629,N,low,2.0NRT,303.28,2.24,D
15.08073,100.99091,334.94,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,301.99,1.61,D
15.05898,100.8358,332.9,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,302.34,6.35,D
15.10189,101.03454,336.67,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,298.62,2.56,D
15.10127,101.0307,345.23,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,298.26,3.26,D
15.08622,100.80719,336.49,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.42,4.31,D
15.17111,101.01099,336.67,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,302.7,7.9,D
15.16766,100.81696,337.37,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,304.18,3.97,D
15.16884,100.78075,338.16,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,307.62,35.24,D
15.16821,100.77686,303.57,0.42,0.38,2026-01-08,0629,N,low,2.0NRT,306.83,35.24,D
15.22562,100.93461,335.44,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,303.33,5.02,D
15.22905,100.93408,333.63,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,299.12,2.89,D
15.33522,101.2014,336.43,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,298.86,4.58,D
15.28957,100.91974,333.18,0.42,0.37,2026-01-08,0629,N,low,2.0NRT,305.79,5.08,D
15.3374,101.19328,345.04,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,296.9,2.75,D
15.34202,101.20026,336.74,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,299.12,4.71,D
15.3408,101.1927,347.29,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,297.83,2.75,D
15.32853,100.8772,337.71,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,304.57,3.86,D
15.33258,100.88046,338.89,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,306.11,3.86,D
15.33196,100.87659,343.55,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,308.4,3.86,D
15.33134,100.87273,335.44,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,303.84,5.57,D
15.32759,100.84953,340.1,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,303.42,1.59,D
15.33477,100.87212,332.74,0.42,0.37,2026-01-08,0629,N,low,2.0NRT,303.09,2.76,D
15.33165,100.85275,338.77,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,305.48,5.26,D
15.33102,100.84888,342.1,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,315.94,52.95,D
15.35222,100.89294,331.99,0.42,0.37,2026-01-08,0629,N,low,2.0NRT,305.53,4.65,D
15.3546,100.89249,340.19,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,307.46,4.78,D
15.36391,100.86324,336.82,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,303.57,10.22,D
15.46417,101.22182,337.04,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,300.96,3.84,D
15.40533,100.79221,335.3,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,304.83,1.67,D
15.40877,100.79161,341.81,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,307.06,9.36,D
15.49013,100.99174,343.94,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,301.61,4.9,D
15.50489,100.82313,355.13,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,311.6,19.17,D
15.47885,100.66336,333.06,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,302.31,1.21,D
15.50833,100.82258,340.06,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,299.36,2.27,D
15.11609,98.16516,339.21,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,298.55,5.83,D
15.11418,98.16332,336.4,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,298.4,4.75,D
15.55246,100.51769,333.22,0.43,0.38,2026-01-08,0629,N,low,2.0NRT,304.84,2.87,D
15.79792,101.76257,332.05,0.39,0.36,2026-01-08,0629,N,nominal,2.0NRT,300.78,3.38,D
15.58219,100.12785,337.77,0.44,0.38,2026-01-08,0629,N,nominal,2.0NRT,301.01,3.33,D
15.58641,100.13137,332.01,0.44,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.67,3.3,D
15.73105,100.64051,332.38,0.42,0.38,2026-01-08,0629,N,low,2.0NRT,305.37,2.07,D
15.7319,100.57988,335.75,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,305.76,2.8,D
15.62792,99.92004,329.74,0.45,0.39,2026-01-08,0629,N,low,2.0NRT,301.39,2.99,D
15.62649,99.92094,336.5,0.45,0.39,2026-01-08,0629,N,nominal,2.0NRT,302.09,5.23,D
15.61935,99.74876,334.64,0.46,0.39,2026-01-08,0629,N,nominal,2.0NRT,305.71,3.08,D
15.62294,99.74815,336.05,0.46,0.39,2026-01-08,0629,N,nominal,2.0NRT,304.53,3.08,D
15.74145,99.82777,330.35,0.45,0.39,2026-01-08,0629,N,nominal,2.0NRT,304.02,2.01,D
15.98398,100.52492,335.22,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,306.76,1.58,D
15.95113,100.08585,346.81,0.44,0.38,2026-01-08,0629,N,nominal,2.0NRT,301.8,9.15,D
16.10431,100.5525,342.05,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.85,10.01,D
16.10776,100.55189,356.21,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,306.49,15.98,D
16.10712,100.54797,332.33,0.42,0.38,2026-01-08,0629,N,low,2.0NRT,303.52,3.2,D
16.11057,100.54737,338.5,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.92,3.2,D
16.04585,100.13246,331.2,0.44,0.38,2026-01-08,0629,N,nominal,2.0NRT,298.27,1.07,D
16.1186,100.50966,343.32,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,302.72,3.37,D
16.18083,100.6394,345.39,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,303.62,1.74,D
16.18019,100.63552,331.43,0.42,0.37,2026-01-08,0629,N,low,2.0NRT,302.61,1.74,D
16.17268,100.5043,335.87,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.4,2.23,D
16.14782,100.26818,334.3,0.43,0.38,2026-01-08,0629,N,nominal,2.0NRT,300.59,3.38,D
16.12744,100.08075,333.55,0.44,0.38,2026-01-08,0629,N,nominal,2.0NRT,300,4.24,D
16.19337,100.30538,334.82,0.43,0.38,2026-01-08,0629,N,nominal,2.0NRT,300.57,3.03,D
16.26327,100.62502,332.71,0.42,0.37,2026-01-08,0629,N,nominal,2.0NRT,305.66,1.64,D
16.16772,100.04004,331.91,0.44,0.38,2026-01-08,0629,N,nominal,2.0NRT,298.85,1.76,D
16.2407,100.4641,335.53,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.59,2.16,D
16.26116,100.48072,332.28,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.36,2.48,D
16.14131,99.60339,330.31,0.46,0.39,2026-01-08,0629,N,nominal,2.0NRT,299.93,0.89,D
16.24877,99.78394,329.55,0.45,0.39,2026-01-08,0629,N,nominal,2.0NRT,303.41,3.22,D
15.93481,97.64261,347.49,0.39,0.44,2026-01-08,0629,N,nominal,2.0NRT,300.68,5.11,D
16.40447,100.18223,332.66,0.43,0.38,2026-01-08,0629,N,nominal,2.0NRT,299.7,2.3,D
16.43297,100.02444,331.45,0.44,0.38,2026-01-08,0629,N,nominal,2.0NRT,298.32,2.18,D
16.55714,100.75475,334.26,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,295.48,2.86,D
16.52474,100.49207,337.28,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,304.41,3.29,D
16.52818,100.49147,340.08,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,302.91,3.29,D
16.52754,100.48756,340.84,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.48,3.29,D
16.57393,100.11218,341.84,0.43,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.27,4.6,D
16.20968,97.64256,356.06,0.39,0.44,2026-01-08,0629,N,nominal,2.0NRT,305.4,16,D
16.21107,97.64178,353.98,0.39,0.44,2026-01-08,0629,N,nominal,2.0NRT,303.54,16.55,D
16.81935,100.77459,331.21,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,300.74,2.12,D
16.26568,97.50766,328.45,0.39,0.44,2026-01-08,0629,N,nominal,2.0NRT,302.41,1.88,D
16.49075,97.82854,367,0.56,0.43,2026-01-08,0629,N,high,2.0NRT,304.95,14.68,D
16.55993,97.78297,347.56,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,307.09,18.45,D
16.57024,97.81883,337.23,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,304.37,4.67,D
16.56933,97.81361,332.74,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,302.27,2.95,D
16.57053,97.79717,347.05,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,302.97,8.39,D
16.55796,97.78069,334.73,0.56,0.43,2026-01-08,0629,N,low,2.0NRT,305.89,11.13,D
16.56189,97.77994,333.65,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,303.15,7.04,D
16.57245,97.81575,343.77,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,302.47,9.81,D
16.56962,97.8001,329.5,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,302.78,3.84,D
16.56867,97.79488,333.32,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,301.66,5.52,D
16.58722,97.80756,331.8,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,304.1,3.27,D
16.62856,97.88017,333.96,0.55,0.43,2026-01-08,0629,N,nominal,2.0NRT,304.73,4.45,D
16.61564,97.80755,334.74,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,302.63,6.13,D
16.62903,97.83727,339.46,0.56,0.43,2026-01-08,0629,N,nominal,2.0NRT,304.9,10.5,D
16.73692,98.40633,332.16,0.52,0.41,2026-01-08,0629,N,nominal,2.0NRT,301.57,2.98,D
16.3833,96.23583,339.69,0.47,0.48,2026-01-08,0629,N,nominal,2.0NRT,302.03,4.79,D
16.37771,96.20521,338.74,0.47,0.48,2026-01-08,0629,N,nominal,2.0NRT,301.94,6.84,D
16.37814,96.20609,334.44,0.47,0.48,2026-01-08,0629,N,nominal,2.0NRT,302.06,3.98,D
16.37731,96.20171,333.41,0.47,0.48,2026-01-08,0629,N,nominal,2.0NRT,302.11,3.98,D
16.71955,97.96088,327.12,0.55,0.42,2026-01-08,0629,N,low,2.0NRT,301.08,2.51,D
16.43317,96.18613,341.5,0.47,0.48,2026-01-08,0629,N,nominal,2.0NRT,301.88,6.59,D
17.10741,99.96991,332.47,0.43,0.38,2026-01-08,0629,N,nominal,2.0NRT,300.3,5.67,D
16.46207,96.29314,352.02,0.46,0.47,2026-01-08,0629,N,nominal,2.0NRT,301.05,15.94,D
16.43398,96.11743,331.06,0.48,0.48,2026-01-08,0629,N,nominal,2.0NRT,301.47,2.38,D
16.49396,96.3933,338.56,0.46,0.47,2026-01-08,0629,N,nominal,2.0NRT,301.37,5.13,D
16.53673,96.55444,338,0.44,0.46,2026-01-08,0629,N,nominal,2.0NRT,300.02,2.36,D
17.32137,100.01595,334.8,0.43,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.96,2.7,D
16.60725,95.98008,330.54,0.48,0.48,2026-01-08,0629,N,nominal,2.0NRT,297.17,2.89,D
17.32484,100.01533,332.11,0.43,0.38,2026-01-08,0629,N,nominal,2.0NRT,302.12,2.7,D
16.66242,96.2025,348.35,0.47,0.47,2026-01-08,0631,N,nominal,2.0NRT,304.71,16.73,D
17.03541,97.25914,329.82,0.39,0.44,2026-01-08,0631,N,low,2.0NRT,304.39,4.11,D
17.04011,97.26205,355.71,0.39,0.44,2026-01-08,0631,N,nominal,2.0NRT,305.89,8.7,D
16.97346,96.24541,342.16,0.46,0.47,2026-01-08,0631,N,nominal,2.0NRT,299.45,4.59,D
17.02003,96.32841,335.92,0.45,0.47,2026-01-08,0631,N,nominal,2.0NRT,302.59,3.77,D
16.99636,95.95616,338.98,0.48,0.48,2026-01-08,0631,N,nominal,2.0NRT,303.25,4.12,D
16.99548,95.95286,334.17,0.48,0.48,2026-01-08,0631,N,nominal,2.0NRT,303.74,3.35,D
16.84128,94.93199,339.02,0.56,0.51,2026-01-08,0631,N,nominal,2.0NRT,297.59,3.71,D
17.86901,100.60264,329.08,0.41,0.37,2026-01-08,0631,N,nominal,2.0NRT,301.88,3.69,D
17.86839,100.59882,329.91,0.41,0.37,2026-01-08,0631,N,nominal,2.0NRT,300.83,3.21,D
17.68334,98.98896,330.81,0.47,0.4,2026-01-08,0631,N,nominal,2.0NRT,299.54,5.59,D
18.15696,101.28346,333.18,0.39,0.36,2026-01-08,0631,N,nominal,2.0NRT,297.3,4.14,D
17.58035,97.24686,331.41,0.39,0.44,2026-01-08,0631,N,nominal,2.0NRT,298.22,2.87,D
17.35736,95.85661,335.85,0.48,0.48,2026-01-08,0631,N,nominal,2.0NRT,301.17,2.09,D
17.48948,96.44834,336.73,0.43,0.46,2026-01-08,0631,N,nominal,2.0NRT,301.48,4.13,D
17.44318,95.97343,336.51,0.47,0.47,2026-01-08,0631,N,nominal,2.0NRT,300.92,4.31,D
17.44752,95.97257,329.27,0.47,0.47,2026-01-08,0631,N,nominal,2.0NRT,298.51,5.94,D
18.25731,100.25707,326.58,0.41,0.37,2026-01-08,0631,N,nominal,2.0NRT,299.89,0.96,D
18.28462,100.04353,338.68,0.42,0.38,2026-01-08,0631,N,nominal,2.0NRT,299.73,3.77,D
18.28396,100.03957,329.15,0.42,0.38,2026-01-08,0631,N,nominal,2.0NRT,300.28,2.19,D
18.17383,99.36119,345.6,0.45,0.39,2026-01-08,0631,N,nominal,2.0NRT,299.9,7.19,D
18.22141,99.62167,330.91,0.43,0.38,2026-01-08,0631,N,nominal,2.0NRT,300.2,1.61,D
18.1347,98.91417,335.78,0.47,0.39,2026-01-08,0631,N,nominal,2.0NRT,299.37,2.92,D
17.74385,96.65189,333.12,0.42,0.45,2026-01-08,0631,N,nominal,2.0NRT,304.82,2.21,D
18.29724,99.66647,335.61,0.43,0.38,2026-01-08,0631,N,nominal,2.0NRT,300.72,3.32,D
18.30073,99.66584,333.56,0.43,0.38,2026-01-08,0631,N,nominal,2.0NRT,298.25,3.32,D
18.2982,99.6668,346.21,0.43,0.38,2026-01-08,0631,N,nominal,2.0NRT,301.71,7.96,D
17.62249,95.79835,333.65,0.47,0.48,2026-01-08,0631,N,nominal,2.0NRT,301.64,2.44,D
18.39831,100.11629,330.91,0.42,0.37,2026-01-08,0631,N,nominal,2.0NRT,300.45,1.46,D
18.44265,100.12849,333.68,0.42,0.37,2026-01-08,0631,N,nominal,2.0NRT,300.09,4.15,D
17.7148,95.73309,340.83,0.48,0.48,2026-01-08,0631,N,nominal,2.0NRT,301.63,5.39,D
18.4969,100.14285,338.16,0.41,0.37,2026-01-08,0631,N,nominal,2.0NRT,297.76,2.59,D
18.1403,98.02906,330.08,0.52,0.41,2026-01-08,0631,N,nominal,2.0NRT,297.04,4.34,D
17.71403,95.73434,342.12,0.48,0.48,2026-01-08,0631,N,nominal,2.0NRT,302.3,6.81,D
